"context","location","source","target"
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-24a]","TDN4-8","Poor guy.","Tội nghiệp."
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Open, Next: [D1D-24]","D1D-24a","-door opens and chimes-","[cửa mở, chuông cửa reo lên]"
"No Sc, msc: SupernovaAlt, no sfx, Next: [CRD1]","D1D-24","An old man enters the gas station. He seems to have some kind of air of caution around him. The way he whips his head around makes him look like he is expecting an attack at any moment.","Một vị khách đứng tuổi bước vào trạm xăng. Hắn toát ra vẻ đề phòng, xoay đầu từ bên này đến bên kia như thể sẵn sàng đỡ đòn tấn công từ mọi phía, mọi lúc."
"Sc: Crust, msc: SupernovaAlt, sfx: Crust_Short, Next: [DD1-20]","CRD1","Salutations, Martian.","Kính chào, người Hoả tinh."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CRD2]","DD1-20","Uh, hello? Do you need something, sir?","Ờm... chào anh? Anh cần mua gì?"
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST2, Next: [D1D-25]","CRD2","Yes, I actually have a list here…","Đây, anh có viết ra này..."
"No Sc, msc: SupernovaAlt, no sfx, Next: [CRD3]","D1D-25","He pulls out a tiny holosheet and starts to read off of it.","Hắn mở tờ giấy hologram nhỏ ra và đọc từng chữ."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST3, Next: [DD1-21]","CRD3","I’m looking for duct tape, five laser blasters, a medkit, a flaming katana--","Anh cần mua 1 cuộn băng keo, 5 khẩu súng laser, 1 bộ sơ cứu, 1 kiếm katana bắt lửa--"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-26]","DD1-21","Sir, this is a gas station.","Anh ơi, chỗ này là trạm xăng."
"No Sc, msc: SupernovaAlt, no sfx, Next: [CRD4]","D1D-26","He stares blankly at me.","Hắn nhìn tôi như thể không hiểu ý."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST1, Next: [DD1-22]","CRD4","...Can I at least get the katana?","...Thế có bán kiếm Katana không?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [D1D-27]","DD1-22"," What do you even need a Katana for?!"," Anh cần mua kiếm Katana làm cái gì?!"
"No Sc, msc: SupernovaAlt, sfx: Crust_Laugh, Next: [CRD5]","D1D-27","The man lets out a hearty laugh. He slaps his rocky chest. Pebbles fall off him.","Hắn cười khằng khặc. Rồi đập mạnh vào bộ ngực bằng đá của mình. Có mấy viên đá rơi xuống."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST2, Next: [CRD6]","CRD5","Doomsday is in just three days! While you’re in here wasting away working MINIMUM wage!","Còn ba ngày nữa là tận thế rồi! Còn chú mày thì ngồi đây lãng phí thì giờ chỉ để nhận lương BA CỌC BA ĐỒNG!"
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST1, Next: [DD1-23]","CRD6","I, Crust, from Mercury, will look at this burning ball of hell gas, and say…","Ta đây, Thạch Trụ, người Sao Thuỷ, sẽ nhìn thẳng vào quả cầu lửa rực cháy kia, và nói..."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CRD7]","DD1-23","…","..."
"Sc: Crust, msc: SupernovaAlt, sfx: Crust_Short, Next: [D1D-28]","CRD7","No.","Cửa hàng..."
"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-24]","D1D-28","He smiles widely.","Hắn cười toe toét."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CRD8]","DD1-24","Sir, I don’t think you will survive a supernova.","Thưa anh, em thấy anh không chịu nổi vụ nổ siêu tân tinh đâu."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST2, Next: [CRD9]","CRD8","I will. Born from the crust of Mercury, I can survive anything.","Sao lại không? Da thịt ta là đất Sao Thuỷ, ta chịu được mọi thứ."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST1, Next: [D1D-29]","CRD9","Besides didn’t you hear? The supernova is a cover-up by the intergalactic association--","Mà nhóc không biết à? Vụ nổ siêu tân tinh là chiêu trò của hiệp hội liên thiên hà nhằm che đậy—"
"No Sc, msc: SupernovaAlt, no sfx, Next: [DD1-25]","D1D-29","Oh, brother. ","Nữa rồi đó. "
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [CRD10]","DD1-25","How about this Crust? I can help you get something that can help you out in your…","Anh Thạch Tượng, hay để em lấy cái gì anh dùng được cho..."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST2, Next: [DD1-26]","CRD10","My supernova bunker.","Hầm trú ẩn vụ nổ siêu tân tinh của anh."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-27]","DD1-26","Your supernova bunker.","Hầm trú ẩn vụ nổ siêu tân tinh của anh."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-27b]","DD1-27"," Alright... a nonperishable snack will be good."," Hừm... lấy món nào để lâu được ấy."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP5-1,TDN5-1]","DD1-27b","Select an item in the shop","Hãy chọn một vật phẩm trong tiệm"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP5-1,TDN5-1]","DD1-27b-Option-1","","DD1-27b-Option-1
"
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP5-1,TDN5-1]DD1-27b-Option-2","DD1-27b-Option-2","","DD1-27b-Option-2
"
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST3, Next: [TDP5-2]","TDP5-1","Jerky! You’re thinking like a true survivor kid! This is great!","Thịt khô à! Nhóc có tư duy sinh tồn đấy! Quá hay!"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP5-3]","TDP5-2","Heh, thanks. I just remembered it from a TV show called Survivorz.","Hehe, cảm ơn anh. Em có xem chương trình ""Người sống sót"" trên TV nên có biết."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP5-4]","TDP5-3","Before you could even ring it up the man opens the bag and starts eating the jerky.","Trước khi tôi kịp tính tiền, hắn đã mở bịch ra ăn rồi."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST1, Next: [TDP5-5]","TDP5-4","Hm, you got somewhere to go kid? I can formally invite you to my bunker if ya want.","Hừm, có chỗ nào để ở chưa nhóc? Nếu muốn thì qua hầm của anh sống, anh mời thật đấy."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP5-6]","TDP5-5","Oh, nah. I’ll be here.","Thôi, anh. Em ở đây."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP5-7]","TDP5-6","Crust chokes on a piece of jerky and coughs. He bumps his chest a few times.","Thạch Tượng mắc nghẹn một miếng thịt khô rồi ho sặc sụa. Hắn đập vào ngực mấy lần."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST2, Next: [TDP5-8]","TDP5-7","Why? Don’t you got someone special to go home to?","Hả? Không còn ai để về à?"
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST1, Next: [TDP5-9]","TDP5-8","I’d expect you young’uns to hightail it outta here.","Anh tưởng mấy đứa trẻ ranh như tụi mày phải vọt trước chứ."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP5-10]","TDP5-9","A familiar face flashes in my mind. My normal bored expression cracks.","Một khuôn mặt thân quen thoáng qua trong trí óc tôi. Khuôn mặt tôi không còn giữ được vẻ thản nhiên."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDP5-11]","TDP5-10","She’ll be fine without me. Besides, I like to be kept busy.","Không có em, bạn ấy cũng ổn thôi. Mà em cũng thích làm này làm kia cho bận."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP5-11b]","TDP5-11","Crust doesn’t speak. I listen to his chewing. He rummages in his pocket to give me his luncos.","Thạch Tượng không nói gì. Tôi ngồi nghe tiếng nhai của hắn. Hắn lục lọi trong túi mấy đồng Nguyệt tệ để đưa tôi."
"No Sc, msc: SupernovaAlt, sfx: CashRegister, Next: [TDP5-12]","TDP5-11b","-cash register chime-","[tiếng máy tính tiền ting ting]"
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST1, Next: [TDP5-13]","TDP5-12","Don’t be too sure about that kid. Don’t choose for others how important you are to them.","Đừng có quả quyết như vậy. Sao mà biết mình quan trọng đến đâu trong mắt người khác."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST2, Next: [TDP5-14]","TDP5-13","I’m gonna be fine when things go down, but you won’t. Talk to who you’re thinking bout.","Có phát nổ thì ta cũng đâu hề hấn gì, còn chú mày thì có đấy. Đang nghĩ đến ai thì lo mà đi nói chuyện với họ đi."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP5-15]","TDP5-14","I don’t answer. It's a bit surprising I feel I am getting life advice from this apocalyptic junkie of some sort.","Tôi không trả lời. Hơi bất ngờ khi nhận được bài học cuộc sống từ một kẻ cuồng tận thế như vậy."
"No Sc, msc: SupernovaAlt, no sfx, Next: [TDP5-16]","TDP5-15","He smiles and waves at me before leaving. I watch the small bits of rock fall to the ground.","Hắn mỉm cười rồi vẫy tay chào tôi trước khi đi. Tôi nhìn những vệt đá nhỏ rơi xuống nền nhà."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-30a]","TDP5-16","I’ll be cleaning that up.","Tôi sẽ phải dọn cái đống ấy."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST2, Next: [TDN5-2]","TDN5-1","Sorry kid, but I don’t really think something like this is going to be much use in my bunker.","Thôi khỏi nhé nhóc, anh thấy cái này để trong hầm trú ẩn cũng chẳng có ích gì."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST1, Next: [TDN5-3]","TDN5-2","You sure you don’t have blasters in the back?","Vậy trong kho còn bộ phản lực nào không?"
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [TDN5-4]","TDN5-3","We’re still just a gas station, sir.","Chỗ này là trạm xăng, thưa anh."
"Sc: Crust, msc: SupernovaAlt, sfx: Crust_Short, Next: [TDN5-5]","TDN5-4"," Alright."," Thôi được rồi."
"Sc: Crust, msc: SupernovaAlt, sfx: CRUST2, Next: [D1D-30a]","TDN5-5","Stay safe, kid. I gotta go prep my bunker some more.","Nhớ giữ an toàn đấy nhóc. Anh đi mua đồ cho cái hầm tiếp đây."
"No Sc, msc: SupernovaAlt, sfx: Door_Chime,Door_Close, Next: [D1D-30]","D1D-30a","-door chimes and closes-","[chuông cửa rung lên, cửa đóng]"
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-31]","D1D-30","It's almost closing time…","Sắp tới giờ đóng cửa rồi..."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-31b]","D1D-31","Flubber lounges in her usual spot. I smile and scratch under her chin.","Múp Míp an toạ ở chỗ nằm quen thuộc. Tôi mỉm cười, gãi nhẹ dưới cằm em ấy."
"No Sc, msc: SupernovaAlt, sfx: FLUBBER2, Next: [DD1-28]","D1D-31b","Flubber Meows","Múp Míp kêu ""meo""."
"Sc: Dmi, msc: SupernovaAlt, no sfx, Next: [DD1-28b]","DD1-28","We had a good day didn’t we?","Một ngày thành công nhỉ?"
"No Sc, msc: SupernovaAlt, sfx: Text_1, Next: [D1D-32]","DD1-28b","-phone chimes-","[chuông điện thoại reo lên]"
"No Sc, msc: SupernovaAlt, no sfx, Next: [T2]","D1D-32","I facepalm as I remember I never messaged Cassiopeia back.","Tôi đờ người ra khi chợt nhớ tôi vẫn chưa nhắn lại cho Tiên Hậu."
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Pocket_Swoosh_1, Next: [T3]","T2","Dmi? Are u ghosting me?","Mi? Đang ghost tớ hả?"
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDP6-1,TDN6-1]","T3","Not cool! im worried about u!","Đừng có làm vậy! Tớ lo cho cậu lắm đấy!"
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDP6-1,TDN6-1]","T3-Option-1","Sorry, got caught up.","Xin lỗi nha, bận quá."
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDP6-1,TDN6-1]","T3-Option-2","You don’t need to keep messaging.","Cậu không cần nhắn tin nhiều vậy đâu."
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDP6-2]","TDP6-1","Lot more customers on this route than i thought we would ","Có nhiều khách ghé qua đây hơn tớ nghĩ "
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDP6-3]","TDP6-2","its a good time to roadtrip when the solar system is getting wiped ya know??","chứ còn gì nữa, hệ mặt trời sắp bị quét sạch thì người ta chẳng đi mua đồ dự phòng??"
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDP6-4]","TDP6-3","More like I met a rock dude named Crust who wanted to buy a katana to defend himself from the imminent supernova. ","Mà biết gì chưa, có ông người đá tên Thạch Tượng đòi mua katana để phòng thân trước vụ nổ sắp tới đó. "
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDP6-5]","TDP6-4","What? Stop lying to me. xD Ur job isn’t that interesting","Ê nha, xạo vừa thôi =)) Bán hàng mà có chuyện vui như vậy để kể hả"
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDP6-6]","TDP6-5","U know how Mars is, we’re weirdo central.","Độc lạ Sao Hoả mà."
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [D1D-33]","TDP6-6","thats true. U live there","người Sao Hoả nói chuyện có khác"
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-34]","D1D-33","I chuckle. That was a good one actually.","Tôi bật cười. Câu đùa ấy hay thật."
"No Sc, msc: SupernovaAlt, no sfx, Next: [T4]","D1D-34","We chat with each other and for a second it feels like the world isn’t coming to an end soon.","Chúng tôi nhắn tin một hồi, và có lúc tôi cảm thấy thế giới này còn lâu mới biến mất."
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDN6-2]","TDN6-1","I’ll just get back to u when i get back to u.","Khi nào cần thì tớ sẽ nhắn cho cậu."
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [TDN6-3]","TDN6-2","Ouch, remind me to never be worried about u again :/","Hừ, sau này tớ khỏi chủ động nhắn nhé :/"
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [TDN6-4]","TDN6-3","Nah, I didn’t mean it like that. I’m just busy.","Không, tớ không có ý đó. Tớ bận làm việc ấy."
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [D1D-35]","TDN6-4","Yeah, yeah I get it.","Ừ, ừ, hiểu rồi."
"No Sc, msc: SupernovaAlt, no sfx, Next: [T4]","D1D-35","I could’ve handled that a bit better.","Tớ đáng lẽ nên chọn cách nói khác."
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [T5]","T4","Are u sure ur not calling off tomorrow? I know the money isn’t good enough at Cosmic Fuel where u need to work a day before Doomsday. :/","Bộ ngày mai vẫn đi làm thiệt hả? Lương ở Hoàn Vũ đâu có cao đâu, mà còn phải đi làm đến ngày trước vụ nổ nữa. :/"
"Sc: Dmi, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [T6]","T5","Maybe I LIKE working for a megacorp.","Lỡ đâu tớ THÍCH bị tư bản bóc lột thì sao?"
"Sc: Cassiopeia, on phone, msc: SupernovaAlt, sfx: Text_4_vibrate, Next: [T7]","T6","shut up","im đê"
"Sc: Dmi, on phone, msc: SupernovaAlt, no sfx, Next: [D1D-36]","T7","ok ","ok "
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-37]","D1D-36","I should clock out for the day","Đến lúc đóng cửa rồi."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-38]","D1D-37","I say goodbye to Flubber. She for some reason is a lot better at closing than I am. I never know what she does when we leave her alone.","Tôi chào Múp Míp. Em ấy có vẻ giỏi chuyện đóng cửa hơn cả tôi. Tôi chẳng đoán được em ấy làm gì khi ở một mình."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-39]","D1D-38","I don’t really know why I’m coming back in tomorrow. I should be packing with Cassie. We may not be able to do anything fancy like a space jump but…","Tôi cũng chẳng biết vì sao mình vẫn đi làm ngày mai. Đáng lẽ tôi phải bắt đầu dọn đồ với Tiên chứ. Dù chúng tôi không có khả năng đi bước nhảy không gian đi nữa thì..."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-40]","D1D-39","…","..."
"No Sc, msc: SupernovaAlt, no sfx, Next: [D1D-40b]","D1D-40","I need some sleep for tomorrow.","Phải ngủ thôi, mai còn đi làm nữa."
"No Sc, msc: SupernovaAlt, sfx: Door_Open,Door_Chime,Door_Close, Next: [Day2Transition]","D1D-40b","-door opens and closes with a chime-","[cửa mở rồi lại đóng, chuông cửa reo lên]"
"No Sc, msc: SupernovaAlt, no sfx, Next: [D2D-1]","Day2Transition","DAY 2","NGÀY THỨ 2"
"No Sc, msc: Supernova, no sfx, Next: [ROD2-1]","D2D-1","I jab my fingers against the screen of my phone the little avatar hops up and down in an effort to dodge the man-eating kale.","Tôi ấn ngón tay vào màn hình điện thoại. Nhân vật ấy nhảy lên rồi lại xuống để không bị cây cải biết đi nuốt chửng."
"Sc: Rob, msc: Supernova, sfx: Rob_Short, Next: [D2D-2]","ROD2-1","Dmi!","Mi!"
"No Sc, msc: Supernova, no sfx, Next: [DD2-1]","D2D-2","I yelp and nearly drop my phone. I catch it just before it slips out of my fingers and glare at the slime man in front of me.","Tôi giựt mình, xém làm rơi điện thoại, nhưng may là kịp giữ lại ngay khi nó vừa rời tay tôi. Tôi lườm vị quản lý đứng trước mặt mình."
"Sc: Dmi, msc: Supernova, no sfx, Next: [D2D-3]","DD2-1","You’ve seriously got to stop doing that!","Anh đừng có làm vậy nữa!"
"No Sc, msc: Supernova, sfx: Rob_Laugh, Next: [ROD2-2]","D2D-3","Rob bursts into laughter.","Rob phá lên cười."
"Sc: Rob, msc: Supernova, sfx: ROB3, Next: [DD2-2]","ROD2-2","It’s just too funny. Look you got goosebumps on your goosebumps! ","Anh không nhịn cười nổi. Da gà nổi lên tới đầu rồi kìa! "
"Sc: Dmi, msc: Supernova, no sfx, Next: [ROD2-3]","DD2-2","whatever how’s packing? ","Thôi đi. Anh dọn đồ chưa? "
"Sc: Rob, msc: Supernova, sfx: ROB2, Next: [D2D-4]","ROD2-3","We’ll be done by tonight. Then we leave tomorrow morning in time for our space jump outta here.","Tối nay là xong. Sáng mai cả nhà anh ra bến thực hiện bước nhảy không gian là kịp."
"No Sc, msc: Supernova, no sfx, Next: [D2D-5]","D2D-4","Ah a space jump. That's everyone’s ticket outta the solar system to go wherever they’re going next. ","Bước nhảy không gian à... Tấm vé thần của tất cả những ai muốn rời khỏi Hệ Mặt Trời. "
"No Sc, msc: Supernova, no sfx, Next: [D2D-6]","D2D-5","They are ways outta here without one but the trip is pretty grueling.","Vẫn còn cách khác nhưng tự đi thì sẽ khổ hơn nhiều."
"No Sc, msc: Supernova, no sfx, Next: [ROD2-4]","D2D-6","Not to mention the luncos to afford a space jump is insane.","Với lại để đi bước nhảy không gian thì phải có rất nhiều tiền."
"Sc: Rob, msc: Supernova, sfx: ROB1, Next: [ROD2-5]","ROD2-4","I’ll come pick up Flubber at the end of the day.","Cuối ngày anh sang đón Flubber."
"Sc: Rob, msc: Supernova, sfx: ROB3, Next: [D2D-7]","ROD2-5","Also smile a little today! Use that slogan of ours to brighten their days. ","Đừng có nhợt nhạt vậy chứ! Khi chào khách nhớ tươi tỉnh lên cho người ta vui. "
"No Sc, msc: Supernova, no sfx, Next: [DD2-3]","D2D-7","Ugh.","Hừ."
"Sc: Dmi, msc: Supernova, no sfx, Next: [ROD2-6]","DD2-3","I’ll try.","Dạ anh."
"Sc: Rob, msc: Supernova, sfx: ROB2, Next: [FD2-1]","ROD2-6","Great! I’ll see you later. Be nice to Flubber!","Thế chứ! Tối anh quay lại nhé. Chăm Múp Míp giúp anh!"
"Sc: Flubber, msc: Supernova, sfx: FLUBBER1, Next: [DD2-4]","FD2-1","Mreoww…","Mreooo..."
"Sc: Dmi, msc: Supernova, no sfx, Next: [DD2-4b]","DD2-4","We’re pals aren’t we Flubber? ","Mình là bạn thân mà, đúng không Múp Míp? "
"No Sc, msc: Supernova, sfx: Door_Chime,Door_Close, Next: [D2D-8]","DD2-4b","-door chimes and closes-","[chuông cửa rung lên, cửa đóng]"
"No Sc, msc: Supernova, no sfx, Next: [D2D-9a]","D2D-8","Flubber gives me a slow blink.","Flubber nheo mắt chầm chậm."
"No Sc, msc: Supernova, sfx: Door_Chime,Door_Open, Next: [D2D-9]","D2D-9a","-door opens and chimes-","[cửa mở, chuông cửa reo lên]"
"No Sc, msc: Supernova, no sfx, Next: [DD2-5]","D2D-9","A two-headed beastman enters. They don’t say a word. I yawn and start spouting the “Cosmic Fuel welcome”.","Một con thú hai đầu bước vào, chẳng nói chẳng rằng. Tôi mở miệng ngáp và hô to ""câu khẩu hiệu""."
"Sc: Dmi, msc: Supernova, no sfx, Next: [D2D-10]","DD2-5","Welcome to Cosmic Fuel. Fill to your heart’s content that’s the Cosmic Fuel way. ","Kính chào quý khách đến Trạm Xăng Hoàn Vũ. Tại đây, chúng tôi phục vụ quý khách bằng một cách mà không nơi nào làm được.  "
"No Sc, msc: Supernova, no sfx, Next: [D2D-11]","D2D-10","The beastmen frantically grab items and stuff them into a bag.","Hai tên người thú vội vàng cầm hàng hóa bỏ vào túi."
"No Sc, msc: Supernova, no sfx, Next: [DD2-6]","D2D-11","Well that’s not at all what I meant. ","Đây đâu phải chỗ tự phục vụ. "
"Sc: Dmi, msc: Supernova, no sfx, Next: [D2D-12]","DD2-6","You guys using cash or credit?","Quý khách trả tiền hay quẹt thẻ?"
"No Sc, msc: Supernova, no sfx, Next: [ROM1]","D2D-12","The more dimwitted looking one whispers to the sharper one and they stalk forward.","Tên ngơ ngác hơn thì thầm gì đó với tên sáng dạ hơn, rồi chúng nhào lên trước."
"Sc: Romulus, msc: Supernova, sfx: ROMULUS1, Next: [D2D-13]","ROM1","This is a stick up! Open the register!","Cướp đây! Đưa hết tiền ra!"
"No Sc, msc: Supernova, no sfx, Next: [REM1]","D2D-13","The dimwitted-looking beast-man pulls out a stick from his pocket and points at me.","Tên người thú ngơ ngác rút một cây gậy từ túi áo rồi chỉa vào tôi."
"Sc: Remus, msc: Supernova, sfx: REMUS1, Next: [ROM2]","REM1","and give us those Saturn dogs behind you!","rồi lấy thêm mấy cây xúc xích ở sau nữa!"
"Sc: Romulus, msc: Supernova, sfx: Romulus_Short, Next: [D2D-14]","ROM2","Yeah! And--","Ừ! Rồi--"
"No Sc, msc: Supernova, no sfx, Next: [REM2]","D2D-14","The sharp-eyed beastman glares at his brother.","Tên người thú sáng dạ hơn lườm tên còn lại."
"Sc: Remus, msc: Supernova, sfx: REMUS2, Next: [ROM3]","REM2","Sorry Romulus stickups make me hungry. ","Xin lỗi anh, nãy giờ em đói quá. "
"Sc: Romulus, msc: Supernova, sfx: ROMULUS3, Next: [REM3]","ROM3","You’re worse than a chihuahua. When I said we’re doing a stickup I didn’t mean to put a literal stickup! ","Vô dụng hơn chó cảnh nữa! Nói lấy một 'cây' là lấy cây súng chứ ai lấy 'cành cây'? "
"Sc: Remus, msc: Supernova, sfx: REMUS2, Next: [ROM4]","REM3","Oh did I mess up again? Are we not getting Saturn dogs? ","Ớ, em lại làm gì sai à? Mình không được ăn xúc xích Sao Thổ nữa hả anh? "
"Sc: Romulus, msc: Supernova, sfx: ROMULUS2, Next: [D2D-15]","ROM4","No you didn’t mess up Remus. Let’s get you that hot dog. No no let’s get you two of them. How about that? ","Không, Remus, không phải lỗi của em. Để anh lấy một cái xúc xích. Thôi, lấy hai cái cho em. Được chưa? "
"No Sc, msc: Supernova, sfx: Remus_Howl, Next: [D2D-15b]","D2D-15","Remus howls with excitement.","Remus rú lên trong vui sướng."
"No Sc, msc: Supernova, no sfx, Next: [TDP7-1,TDN7-1]","D2D-15b","Select an item in the shop","Hãy chọn một vật phẩm trong tiệm"
"No Sc, msc: Supernova, no sfx, Next: [TDP7-1,TDN7-1]","D2D-15b-Option-1","","D2D-15b-Option-1
"
"No Sc, msc: Supernova, no sfx, Next: [TDP7-1,TDN7-1]D2D-15b-Option-2","D2D-15b-Option-2","","D2D-15b-Option-2
"
"No Sc, msc: Supernova, no sfx, Next: [TDP7-2]","TDP7-1","I slide two Saturn dogs to the pair. Remus helps himself and scarfs it down.","Tôi đưa hai chiếc xúc xích sao Thổ cho chúng. Remus ngấu nghiến hết sạch."
"Sc: Romulus, msc: Supernova, sfx: ROMULUS1, Next: [TDP7-3]","TDP7-2","and now the register--","rồi giờ mở cái máy kia ra--"
"Sc: Remus, msc: Supernova, sfx: REMUS1, Next: [TDP7-4]","TDP7-3","Rom… they were so nice and gave us a Saturn dog. Do we have to?","Anh Rom... Người ta là người tốt nên mới cho mình ăn xúc xích. Anh vẫn muốn làm vậy à?"
"Sc: Romulus, msc: Supernova, sfx: ROMULUS3, Next: [TDP7-5]","TDP7-4","Of course! We came all this way just to--","Chứ sao nữa! Đi đến tận đây chỉ để--"
"Sc: Remus, msc: Supernova, sfx: Remus_Short, Next: [TDP7-6]","TDP7-5","To steal?","Để ăn cướp?"
"No Sc, msc: Supernova, no sfx, Next: [TDP7-7]","TDP7-6","Romulus stutters in shock.","Romulus rùng mình vì sốc."
"No Sc, msc: Supernova, no sfx, Next: [TDP7-8]","TDP7-7","Remus doesn’t look too different from a kicked puppy.","Remus trông cứ như một con cún mới ngã lăn ra."
"Sc: Remus, msc: Supernova, sfx: REMUS1, Next: [TDP7-9]","TDP7-8","Mom always told us stealing was bad. We should pay!","Mẹ dạy là không được ăn cướp đó. Mình phải trả tiền chứ!"
"Sc: Dmi, msc: Supernova, no sfx, Next: [TDP7-10]","TDP7-9","I don’t really care either way to be honest… ","Sao cũng được, tôi không quan tâm... "
"No Sc, msc: Supernova, no sfx, Next: [TDP7-11]","TDP7-10","The two ignore me. I can practically hear the galaxy’s smallest violin play for the two.","Bọn hắn lơ tôi. Tôi có thể nghe tiếng vi-ô-lông cảm động cất lên từ nơi xa xăm ngoài vũ trụ."
"Sc: Romulus, msc: Supernova, sfx: ROMULUS2, Next: [TDP7-12]","TDP7-11","You’re right Rem… I can’t do it. I wanted to be the tough guy so bad… everything is going to get blown to smithereens!","Em nói đúng, Rem ơi... Anh đâu làm vậy được. Dù muốn thử làm người xấu lắm... mọi thứ sắp nổ tan tành cả rồi!"
"Sc: Romulus, msc: Supernova, sfx: ROMULUS1, Next: [TDP7-13]","TDP7-12","I just wanted to do something cool!","Anh chỉ muốn làm cái gì hay ho thôi!"
"Sc: Romulus, msc: Supernova, sfx: ROMULUS3, Next: [TDP7-14]","TDP7-13","Will you ever forgive me?","Thứ lỗi cho anh nhé?"
"Sc: Remus, msc: Supernova, sfx: REMUS2, Next: [TDP7-15]","TDP7-14","You’re the best big brother ever! Of course I will! ","Anh là ông anh tuyệt vời nhất mà em từng có! Sao em giận anh được! "
"No Sc, msc: Supernova, no sfx, Next: [TDP7-16]","TDP7-15","The two beastmen burst into tears.","Hai tên người thú bật khóc."
"No Sc, msc: Supernova, no sfx, Next: [TDP7-17]","TDP7-16","I just stand there watching the two go through a whole movie scene together.","Còn tôi đứng đó chờ hai thằng cha này ngừng tạo nét."
"No Sc, msc: Supernova, no sfx, Next: [TDP7-18]","TDP7-17","Romulus sets a pile of luncos on the counter.","Romulus thả một đống Nguyệt tệ lên bàn."
